epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5304,1.16003,2.01776,1.21891,0.68707,0.81,0.82173,0.63457,0.82196,1.30137,1.06757,0.000368898,0.000368898,0.000368898
2,32.8725,1.11931,1.14466,1.21935,0.85884,0.87343,0.86067,0.68633,0.77483,0.89797,1.079,0.000724594,0.000724594,0.000724594
3,48.7266,1.06769,1.00346,1.20391,0.64896,0.79907,0.69952,0.55359,0.75618,1.44503,1.05134,0.00106563,0.00106563,0.00106563
4,64.4108,1.03789,0.89431,1.19005,0.91096,0.91039,0.90718,0.7151,0.78701,0.70141,1.05855,0.00104501,0.00104501,0.00104501
5,80.3302,0.98284,0.79246,1.1518,0.92379,0.92531,0.91667,0.75332,0.72632,0.62672,1.01318,0.00102301,0.00102301,0.00102301
6,96.1839,0.94854,0.7387,1.13049,0.87951,0.90734,0.89297,0.74616,0.66273,0.64958,1.00873,0.00100101,0.00100101,0.00100101
7,112.16,0.93345,0.70775,1.14361,0.89565,0.91508,0.91066,0.75134,0.71492,0.64839,1.01892,0.000979013,0.000979013,0.000979013
8,128.174,0.90916,0.67058,1.11124,0.82631,0.88568,0.9008,0.77913,0.58842,0.63861,0.97951,0.000957015,0.000957015,0.000957015
9,144.223,0.88257,0.62833,1.10942,0.90652,0.89385,0.89712,0.77224,0.59342,0.56139,0.98211,0.000935018,0.000935018,0.000935018
10,160.28,0.87494,0.61801,1.10202,0.87549,0.88848,0.87679,0.7612,0.58487,0.6227,0.99134,0.00091302,0.00091302,0.00091302
11,176.402,0.85285,0.59181,1.0918,0.88578,0.92105,0.86782,0.74491,0.5968,0.57147,0.96802,0.000891022,0.000891022,0.000891022
12,192.326,0.83415,0.58838,1.08496,0.8918,0.91207,0.91082,0.79293,0.57149,0.56729,0.95416,0.000869024,0.000869024,0.000869024
13,208.073,0.81612,0.56599,1.07457,0.87458,0.90879,0.91012,0.76924,0.64302,0.57822,0.9981,0.000847026,0.000847026,0.000847026
